timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644502056854,822,CheckAvails,200,,RequestGroup 1-1,text,true,,487124,110299,1,1,http://65.0.127.126:8080/avails/fetch,689,0,0
1644502057684,864,CheckAvails,200,,RequestGroup 1-1,text,true,,486370,110299,1,1,http://65.0.127.126:8080/avails/fetch,726,0,0
1644502058556,841,CheckAvails,200,,RequestGroup 1-1,text,true,,485696,110299,1,1,http://65.0.127.126:8080/avails/fetch,706,0,0
1644502059410,832,CheckAvails,200,,RequestGroup 1-1,text,true,,486289,110299,1,1,http://65.0.127.126:8080/avails/fetch,691,0,0
1644502060250,831,CheckAvails,200,,RequestGroup 1-1,text,true,,485706,110299,1,1,http://65.0.127.126:8080/avails/fetch,694,0,0
1644502061085,836,CheckAvails,200,,RequestGroup 1-1,text,true,,485969,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644502061924,839,CheckAvails,200,,RequestGroup 1-1,text,true,,485840,110299,1,1,http://65.0.127.126:8080/avails/fetch,701,0,0
1644502062769,4044,CheckAvails,200,,RequestGroup 1-1,text,true,,7908681,110299,1,1,http://65.0.127.126:8080/avails/fetch,1092,0,0
1644502066820,844,CheckAvails,200,,RequestGroup 1-1,text,true,,485364,110299,1,1,http://65.0.127.126:8080/avails/fetch,708,0,0
1644502067670,831,CheckAvails,200,,RequestGroup 1-1,text,true,,486102,110299,1,1,http://65.0.127.126:8080/avails/fetch,694,0,0
1644502068507,862,CheckAvails,200,,RequestGroup 1-1,text,true,,486469,110299,1,1,http://65.0.127.126:8080/avails/fetch,724,0,0
1644502069403,876,CheckAvails,200,,RequestGroup 1-1,text,true,,486436,110299,1,1,http://65.0.127.126:8080/avails/fetch,744,0,0
1644502070282,855,CheckAvails,200,,RequestGroup 1-1,text,true,,485676,110299,1,1,http://65.0.127.126:8080/avails/fetch,720,0,0
1644502071141,838,CheckAvails,200,,RequestGroup 1-1,text,true,,486090,110299,1,1,http://65.0.127.126:8080/avails/fetch,705,0,0
1644502071984,828,CheckAvails,200,,RequestGroup 1-1,text,true,,486702,110299,1,1,http://65.0.127.126:8080/avails/fetch,693,0,0
1644502072815,825,CheckAvails,200,,RequestGroup 1-1,text,true,,485996,110299,1,1,http://65.0.127.126:8080/avails/fetch,689,0,0
1644502073643,847,CheckAvails,200,,RequestGroup 1-1,text,true,,486721,110299,1,1,http://65.0.127.126:8080/avails/fetch,709,0,0
1644502074492,828,CheckAvails,200,,RequestGroup 1-1,text,true,,485887,110299,1,1,http://65.0.127.126:8080/avails/fetch,690,0,0
1644502075325,836,CheckAvails,200,,RequestGroup 1-1,text,true,,486303,110299,1,1,http://65.0.127.126:8080/avails/fetch,701,0,0
1644502076177,825,CheckAvails,200,,RequestGroup 1-1,text,true,,486190,110299,1,1,http://65.0.127.126:8080/avails/fetch,696,0,0
1644502077008,872,CheckAvails,200,,RequestGroup 1-1,text,true,,486623,110299,1,1,http://65.0.127.126:8080/avails/fetch,738,0,0
1644502077886,841,CheckAvails,200,,RequestGroup 1-1,text,true,,486321,110299,1,1,http://65.0.127.126:8080/avails/fetch,699,0,0
1644502078733,855,CheckAvails,200,,RequestGroup 1-1,text,true,,485848,110299,1,1,http://65.0.127.126:8080/avails/fetch,717,0,0
1644502079591,852,CheckAvails,200,,RequestGroup 1-1,text,true,,485612,110299,1,1,http://65.0.127.126:8080/avails/fetch,714,0,0
1644502080448,852,CheckAvails,200,,RequestGroup 1-1,text,true,,486223,110299,1,1,http://65.0.127.126:8080/avails/fetch,719,0,0
1644502081305,841,CheckAvails,200,,RequestGroup 1-1,text,true,,485595,110299,1,1,http://65.0.127.126:8080/avails/fetch,702,0,0
1644502082151,846,CheckAvails,200,,RequestGroup 1-1,text,true,,485986,110299,1,1,http://65.0.127.126:8080/avails/fetch,708,0,0
1644502083010,880,CheckAvails,200,,RequestGroup 1-1,text,true,,485845,110299,1,1,http://65.0.127.126:8080/avails/fetch,748,0,0
